player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,salary
Jamal Murray,DEN,26,193.04,97.52228,Kentucky,Canada,1,65,20,4,6.2,6.4,0.024,0.099,0.256,0.571,0.265,2022-23,31.650599999999997
James Bouknight,CHA,22,193.04,86.18248,Connecticut,USA,1,34,5.6,2.1,1.2,-8.3,0.015,0.116,0.192,0.463,0.117,2022-23,4.36224
James Harden,PHI,33,195.58,99.79024,Arizona State,USA,1,58,21,6.1,10.7,6.1,0.021,0.151,0.247,0.607,0.439,2022-23,33
James Johnson,IND,36,200.66,108.86208,Wake Forest,USA,2,18,2.8,1.7,0.8,-1.1,0.022,0.173,0.152,0.486,0.135,2022-23,3.8410670000000002
James Wiseman,DET,22,213.36,108.86208,Memphis,USA,1,45,10,5.9,0.7,-17.2,0.084,0.231,0.212,0.589,0.057,2022-23,9.60336
Jared Butler,OKC,22,190.5,87.543256,Baylor,USA,3,6,6.2,0.7,1.3,2.6,0.013,0.034,0.208,0.578,0.16,2022-23,1.674655
Jaren Jackson Jr.,MEM,23,208.28,109.769264,Michigan State,USA,1,63,18.6,6.8,1,9.8,0.058,0.159,0.243,0.613,0.048,2022-23,28.946604999999998
Jarred Vanderbilt,LAL,24,203.2,97.068688,Kentucky,USA,3,78,7.9,7.5,2.4,-1.5,0.09,0.216,0.136,0.604,0.134,2022-23,4.3740000000000006
Jarrett Allen,CLE,25,205.74,110.222856,Texas,USA,2,68,14.3,9.8,1.7,7.7,0.107,0.21,0.162,0.67,0.073,2022-23,20
Jason Preston,LAC,23,190.5,82.100152,Ohio,USA,3,14,2.9,1.6,1.9,-1.6,0.014,0.175,0.166,0.489,0.307,2022-23,1.563518
Jalen Johnson,ATL,21,203.2,99.336648,Duke,USA,2,70,5.6,4,1.2,0.3,0.047,0.214,0.156,0.554,0.106,2022-23,2.79264
Jalen Green,HOU,21,193.04,84.368112,,USA,1,76,22.1,3.7,3.7,-8.7,0.016,0.093,0.274,0.538,0.169,2022-23,9.441840000000001
Jalen Duren,DET,19,210.82,113.398,Memphis,USA,1,67,9.1,8.9,1.1,-8.3,0.13,0.221,0.139,0.655,0.069,2022-23,4.124280000000001
Jalen Brunson,NYK,26,187.96,86.18248,Villanova,USA,3,68,24,3.5,6.2,2.1,0.016,0.085,0.266,0.597,0.28,2022-23,27.733332
Isaiah Todd,WAS,21,205.74,99.336648,,USA,3,6,1.5,2,0.7,-6.7,0.027,0.152,0.143,0.226,0.087,2022-23,1.575
Ivica Zubac,LAC,26,213.36,108.86208,,Croatia,3,76,10.8,9.9,1,-0.6,0.114,0.238,0.149,0.661,0.05,2022-23,10.123457
JD Davison,BOS,20,185.42,88.45044,Alabama,USA,4,12,1.6,0.8,0.9,-5.8,0.033,0.093,0.157,0.478,0.234,2022-23,0.508891
JT Thor,CHA,20,205.74,92.079176,Auburn,USA,3,69,3.8,2.2,0.5,-7.5,0.035,0.115,0.13,0.506,0.054,2022-23,1.563518
Ja Morant,MEM,23,187.96,78.925008,Murray State,USA,1,61,26.2,5.9,8.1,7.3,0.029,0.139,0.338,0.557,0.412,2022-23,12.11944
JaVale McGee,DAL,35,213.36,122.46984,Nevada,USA,2,42,4.4,2.5,0.3,-7.3,0.086,0.199,0.214,0.65,0.051,2022-23,5.461219
Javonte Green,CHI,29,195.58,92.98636,Radford,USA,5,32,5.2,2.8,0.7,5.9,0.057,0.119,0.128,0.646,0.062,2022-23,1.8156770000000002
Jabari Walker,POR,20,200.66,90.7184,Colorado,USA,5,56,3.9,2.3,0.6,-9,0.074,0.135,0.164,0.496,0.08,2022-23,1.0177809999999998
Jaden Hardy,DAL,20,190.5,89.811216,,USA,3,48,8.8,1.9,1.4,-3.1,0.015,0.106,0.248,0.571,0.147,2022-23,1.0177809999999998
Jaden Ivey,DET,21,193.04,88.45044,Purdue,USA,1,74,16.3,3.9,5.2,-13,0.03,0.094,0.251,0.528,0.269,2022-23,7.2522
Jaden McDaniels,MIN,22,205.74,83.91452,Washington,USA,2,79,12.1,3.9,1.9,2,0.039,0.086,0.156,0.611,0.082,2022-23,2.16144
Jaden Springer,PHI,20,193.04,91.625584,Tennessee,USA,2,16,2.6,0.9,0.5,-2.1,0.063,0.091,0.188,0.545,0.129,2022-23,2.1252
Jae Crowder,MIL,32,198.12,106.59412,Marquette,USA,3,18,6.9,3.8,1.5,-0.8,0.046,0.134,0.125,0.624,0.102,2022-23,10.1838
Jae'Sean Tate,HOU,27,195.58,104.32616,Ohio State,USA,5,31,9.1,3.8,2.7,-7.3,0.054,0.114,0.178,0.546,0.184,2022-23,7.065217
Jake LaRavia,MEM,21,200.66,106.59412,Wake Forest,USA,2,35,3,1.8,0.6,-7.6,0.044,0.1,0.117,0.531,0.068,2022-23,3.0476400000000003
Jakob Poeltl,TOR,27,215.9,111.13004,Utah,Austria,1,72,12.5,9.1,2.7,-3.1,0.117,0.24,0.18,0.635,0.146,2022-23,9.398148
Jack White,DEN,25,200.66,102.0582,Duke,Australia,5,17,1.2,1,0.2,-14.1,0.086,0.177,0.133,0.517,0.093,2022-23,0.508891
Isaiah Roby,NYK,25,203.2,104.32616,Nebraska,USA,4,42,4.1,2.6,0.9,-10.4,0.04,0.188,0.173,0.497,0.114,2022-23,2.330681
Jaxson Hayes,NOP,23,213.36,99.79024,Texas,USA,1,47,5,2.8,0.7,-5.4,0.058,0.153,0.149,0.605,0.088,2022-23,6.803012
Jonas Valanciunas,NOP,31,210.82,120.20188,,Lithuania,1,79,14.1,10.2,1.8,-0.7,0.115,0.293,0.229,0.61,0.108,2022-23,14.7
Jonathan Isaac,ORL,25,208.28,104.32616,Florida State,USA,1,11,5,4,0.5,-5.8,0.099,0.25,0.198,0.483,0.085,2022-23,17.4
Jonathan Kuminga,GSW,20,200.66,102.0582,,DRC,1,67,9.9,3.4,1.9,-1.4,0.052,0.113,0.195,0.597,0.132,2022-23,5.73984
Jordan Clarkson,UTA,31,195.58,87.996848,Missouri,USA,4,61,20.8,4,4.4,0.8,0.036,0.083,0.273,0.558,0.209,2022-23,13.34
Jordan Goodwin,WAS,24,190.5,90.7184,St. Louis,USA,5,62,6.6,3.3,2.7,-4.5,0.05,0.131,0.165,0.531,0.22,2022-23,1.2802060000000002
Jordan McLaughlin,MIN,27,182.88,83.91452,Southern California,USA,5,43,3.7,1.4,3.4,5.8,0.022,0.065,0.112,0.526,0.264,2022-23,2.16
Jordan Nwora,IND,24,205.74,102.0582,Louisville,USA,4,62,8.7,3.7,1.4,-10.2,0.041,0.147,0.187,0.561,0.107,2022-23,2.8
Jordan Poole,GSW,24,193.04,87.996848,Michigan,USA,2,82,20.4,2.7,4.5,-0.8,0.013,0.073,0.282,0.573,0.234,2022-23,3.901399
Jose Alvarado,NOP,25,182.88,81.192968,Georgia Tech,USA,5,61,9,2.3,3,3.7,0.022,0.087,0.191,0.525,0.199,2022-23,1.563518
Josh Christopher,HOU,21,193.04,97.52228,Arizona State,USA,2,64,5.8,1.1,1.1,-13.9,0.024,0.068,0.215,0.523,0.149,2022-23,2.37216
Josh Giddey,OKC,20,203.2,97.975872,,Australia,1,76,16.6,7.9,6.2,-2.2,0.058,0.189,0.239,0.533,0.293,2022-23,6.2874
